alert_id,event_time,src_ip,dst_ip,asset_name,business_level,log_source,attack_type,rule_id,rule_name,matched_field,matched_value,severity,evidence,recommendation,raw_message
ALT-000011,2026-06-15 08:08:05,76.49.45.65,192.168.10.10,Web-Server-01,core,suricata_eve,IDS Alert,IDS-001,IDS High Severity Alert,severity,2.0,high,Suricata 高危告警；signature=ET SCAN Nmap Scripting Engine User-Agent Detected；severity=2.0；proto=,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。,"{""timestamp"": ""2026-06-15T08:08:05+08:00"", ""src_ip"": ""76.49.45.65"", ""dest_ip"": ""192.168.10.10"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET SCAN Nmap Scripting Engine User-Agent Detected"", ""severity"": 2, ""category"": ""Attempted Information Leak""}}"
ALT-000012,2026-06-15 08:08:44,140.247.36.191,192.168.10.20,Login-Server-01,core,suricata_eve,IDS Alert,IDS-001,IDS High Severity Alert,severity,1.0,high,Suricata 高危告警；signature=ET POLICY Suspicious inbound to mySQL port 3306；severity=1.0；proto=,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。,"{""timestamp"": ""2026-06-15T08:08:44+08:00"", ""src_ip"": ""140.247.36.191"", ""dest_ip"": ""192.168.10.20"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET POLICY Suspicious inbound to mySQL port 3306"", ""severity"": 1, ""category"": ""Attempted Information Leak""}}"
ALT-000013,2026-06-15 08:10:03,146.52.13.48,192.168.10.40,OA-System-01,high,suricata_eve,IDS Alert,IDS-001,IDS High Severity Alert,severity,1.0,high,Suricata 高危告警；signature=ET WEB_SERVER Possible SQL Injection Attempt；severity=1.0；proto=,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。,"{""timestamp"": ""2026-06-15T08:10:03+08:00"", ""src_ip"": ""146.52.13.48"", ""dest_ip"": ""192.168.10.40"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET WEB_SERVER Possible SQL Injection Attempt"", ""severity"": 1, ""category"": ""Attempted Information Leak""}}"
ALT-000014,2026-06-15 08:10:54,170.220.125.95,192.168.10.10,Web-Server-01,core,suricata_eve,IDS Alert,IDS-001,IDS High Severity Alert,severity,2.0,high,Suricata 高危告警；signature=ET WEB_SERVER Possible XSS Attempt；severity=2.0；proto=,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。,"{""timestamp"": ""2026-06-15T08:10:54+08:00"", ""src_ip"": ""170.220.125.95"", ""dest_ip"": ""192.168.10.10"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET WEB_SERVER Possible XSS Attempt"", ""severity"": 2, ""category"": ""Attempted Information Leak""}}"
ALT-000015,2026-06-15 08:11:28,58.123.21.82,192.168.10.20,Login-Server-01,core,suricata_eve,IDS Alert,IDS-001,IDS High Severity Alert,severity,2.0,high,Suricata 高危告警；signature=ET SCAN Nmap Scripting Engine User-Agent Detected；severity=2.0；proto=,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。,"{""timestamp"": ""2026-06-15T08:11:28+08:00"", ""src_ip"": ""58.123.21.82"", ""dest_ip"": ""192.168.10.20"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET SCAN Nmap Scripting Engine User-Agent Detected"", ""severity"": 2, ""category"": ""Attempted Information Leak""}}"
ALT-000016,2026-06-15 08:12:09,219.88.197.131,192.168.10.30,DB-Server-01,high,suricata_eve,IDS Alert,IDS-001,IDS High Severity Alert,severity,1.0,high,Suricata 高危告警；signature=ET POLICY Suspicious inbound to mySQL port 3306；severity=1.0；proto=,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。,"{""timestamp"": ""2026-06-15T08:12:09+08:00"", ""src_ip"": ""219.88.197.131"", ""dest_ip"": ""192.168.10.30"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET POLICY Suspicious inbound to mySQL port 3306"", ""severity"": 1, ""category"": ""Attempted Information Leak""}}"
ALT-000017,2026-06-15 08:13:35,168.59.95.133,192.168.10.10,Web-Server-01,core,suricata_eve,IDS Alert,IDS-001,IDS High Severity Alert,severity,1.0,high,Suricata 高危告警；signature=ET WEB_SERVER Possible SQL Injection Attempt；severity=1.0；proto=,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。,"{""timestamp"": ""2026-06-15T08:13:35+08:00"", ""src_ip"": ""168.59.95.133"", ""dest_ip"": ""192.168.10.10"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET WEB_SERVER Possible SQL Injection Attempt"", ""severity"": 1, ""category"": ""Attempted Information Leak""}}"
ALT-000018,2026-06-15 08:14:01,161.70.244.88,192.168.10.20,Login-Server-01,core,suricata_eve,IDS Alert,IDS-001,IDS High Severity Alert,severity,2.0,high,Suricata 高危告警；signature=ET WEB_SERVER Possible XSS Attempt；severity=2.0；proto=,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。,"{""timestamp"": ""2026-06-15T08:14:01+08:00"", ""src_ip"": ""161.70.244.88"", ""dest_ip"": ""192.168.10.20"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET WEB_SERVER Possible XSS Attempt"", ""severity"": 2, ""category"": ""Attempted Information Leak""}}"
ALT-000019,2026-06-15 08:14:51,197.214.39.224,192.168.10.30,DB-Server-01,high,suricata_eve,IDS Alert,IDS-001,IDS High Severity Alert,severity,2.0,high,Suricata 高危告警；signature=ET SCAN Nmap Scripting Engine User-Agent Detected；severity=2.0；proto=,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。,"{""timestamp"": ""2026-06-15T08:14:51+08:00"", ""src_ip"": ""197.214.39.224"", ""dest_ip"": ""192.168.10.30"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET SCAN Nmap Scripting Engine User-Agent Detected"", ""severity"": 2, ""category"": ""Attempted Information Leak""}}"
ALT-000020,2026-06-15 08:15:34,202.163.14.93,192.168.10.40,OA-System-01,high,suricata_eve,IDS Alert,IDS-001,IDS High Severity Alert,severity,1.0,high,Suricata 高危告警；signature=ET POLICY Suspicious inbound to mySQL port 3306；severity=1.0；proto=,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。,"{""timestamp"": ""2026-06-15T08:15:34+08:00"", ""src_ip"": ""202.163.14.93"", ""dest_ip"": ""192.168.10.40"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET POLICY Suspicious inbound to mySQL port 3306"", ""severity"": 1, ""category"": ""Attempted Information Leak""}}"
ALT-000021,2026-06-15 08:16:45,164.193.241.4,192.168.10.20,Login-Server-01,core,suricata_eve,IDS Alert,IDS-001,IDS High Severity Alert,severity,1.0,high,Suricata 高危告警；signature=ET WEB_SERVER Possible SQL Injection Attempt；severity=1.0；proto=,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。,"{""timestamp"": ""2026-06-15T08:16:45+08:00"", ""src_ip"": ""164.193.241.4"", ""dest_ip"": ""192.168.10.20"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET WEB_SERVER Possible SQL Injection Attempt"", ""severity"": 1, ""category"": ""Attempted Information Leak""}}"
ALT-000022,2026-06-15 08:17:22,153.226.52.203,192.168.10.30,DB-Server-01,high,suricata_eve,IDS Alert,IDS-001,IDS High Severity Alert,severity,2.0,high,Suricata 高危告警；signature=ET WEB_SERVER Possible XSS Attempt；severity=2.0；proto=,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。,"{""timestamp"": ""2026-06-15T08:17:22+08:00"", ""src_ip"": ""153.226.52.203"", ""dest_ip"": ""192.168.10.30"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET WEB_SERVER Possible XSS Attempt"", ""severity"": 2, ""category"": ""Attempted Information Leak""}}"
ALT-000023,2026-06-15 08:18:13,212.152.8.52,192.168.10.40,OA-System-01,high,suricata_eve,IDS Alert,IDS-001,IDS High Severity Alert,severity,2.0,high,Suricata 高危告警；signature=ET SCAN Nmap Scripting Engine User-Agent Detected；severity=2.0；proto=,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。,"{""timestamp"": ""2026-06-15T08:18:13+08:00"", ""src_ip"": ""212.152.8.52"", ""dest_ip"": ""192.168.10.40"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET SCAN Nmap Scripting Engine User-Agent Detected"", ""severity"": 2, ""category"": ""Attempted Information Leak""}}"
ALT-000024,2026-06-15 08:18:42,121.135.134.173,192.168.10.10,Web-Server-01,core,suricata_eve,IDS Alert,IDS-001,IDS High Severity Alert,severity,1.0,high,Suricata 高危告警；signature=ET POLICY Suspicious inbound to mySQL port 3306；severity=1.0；proto=,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。,"{""timestamp"": ""2026-06-15T08:18:42+08:00"", ""src_ip"": ""121.135.134.173"", ""dest_ip"": ""192.168.10.10"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET POLICY Suspicious inbound to mySQL port 3306"", ""severity"": 1, ""category"": ""Attempted Information Leak""}}"
ALT-000025,2026-06-15 08:20:14,122.233.114.185,192.168.10.30,DB-Server-01,high,suricata_eve,IDS Alert,IDS-001,IDS High Severity Alert,severity,1.0,high,Suricata 高危告警；signature=ET WEB_SERVER Possible SQL Injection Attempt；severity=1.0；proto=,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。,"{""timestamp"": ""2026-06-15T08:20:14+08:00"", ""src_ip"": ""122.233.114.185"", ""dest_ip"": ""192.168.10.30"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET WEB_SERVER Possible SQL Injection Attempt"", ""severity"": 1, ""category"": ""Attempted Information Leak""}}"
ALT-000026,2026-06-15 08:20:43,59.40.152.245,192.168.10.40,OA-System-01,high,suricata_eve,IDS Alert,IDS-001,IDS High Severity Alert,severity,2.0,high,Suricata 高危告警；signature=ET WEB_SERVER Possible XSS Attempt；severity=2.0；proto=,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。,"{""timestamp"": ""2026-06-15T08:20:43+08:00"", ""src_ip"": ""59.40.152.245"", ""dest_ip"": ""192.168.10.40"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET WEB_SERVER Possible XSS Attempt"", ""severity"": 2, ""category"": ""Attempted Information Leak""}}"
ALT-000027,2026-06-15 08:21:27,25.139.189.24,192.168.10.10,Web-Server-01,core,suricata_eve,IDS Alert,IDS-001,IDS High Severity Alert,severity,2.0,high,Suricata 高危告警；signature=ET SCAN Nmap Scripting Engine User-Agent Detected；severity=2.0；proto=,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。,"{""timestamp"": ""2026-06-15T08:21:27+08:00"", ""src_ip"": ""25.139.189.24"", ""dest_ip"": ""192.168.10.10"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET SCAN Nmap Scripting Engine User-Agent Detected"", ""severity"": 2, ""category"": ""Attempted Information Leak""}}"
ALT-000028,2026-06-15 08:22:03,111.185.23.188,192.168.10.20,Login-Server-01,core,suricata_eve,IDS Alert,IDS-001,IDS High Severity Alert,severity,1.0,high,Suricata 高危告警；signature=ET POLICY Suspicious inbound to mySQL port 3306；severity=1.0；proto=,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。,"{""timestamp"": ""2026-06-15T08:22:03+08:00"", ""src_ip"": ""111.185.23.188"", ""dest_ip"": ""192.168.10.20"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET POLICY Suspicious inbound to mySQL port 3306"", ""severity"": 1, ""category"": ""Attempted Information Leak""}}"
ALT-000029,2026-06-15 08:23:31,135.83.70.147,192.168.10.40,OA-System-01,high,suricata_eve,IDS Alert,IDS-001,IDS High Severity Alert,severity,1.0,high,Suricata 高危告警；signature=ET WEB_SERVER Possible SQL Injection Attempt；severity=1.0；proto=,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。,"{""timestamp"": ""2026-06-15T08:23:31+08:00"", ""src_ip"": ""135.83.70.147"", ""dest_ip"": ""192.168.10.40"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET WEB_SERVER Possible SQL Injection Attempt"", ""severity"": 1, ""category"": ""Attempted Information Leak""}}"
ALT-000030,2026-06-15 08:24:09,132.217.138.181,192.168.10.10,Web-Server-01,core,suricata_eve,IDS Alert,IDS-001,IDS High Severity Alert,severity,2.0,high,Suricata 高危告警；signature=ET WEB_SERVER Possible XSS Attempt；severity=2.0；proto=,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。,"{""timestamp"": ""2026-06-15T08:24:09+08:00"", ""src_ip"": ""132.217.138.181"", ""dest_ip"": ""192.168.10.10"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET WEB_SERVER Possible XSS Attempt"", ""severity"": 2, ""category"": ""Attempted Information Leak""}}"
ALT-000031,2026-06-15 08:24:45,171.100.128.41,192.168.10.20,Login-Server-01,core,suricata_eve,IDS Alert,IDS-001,IDS High Severity Alert,severity,2.0,high,Suricata 高危告警；signature=ET SCAN Nmap Scripting Engine User-Agent Detected；severity=2.0；proto=,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。,"{""timestamp"": ""2026-06-15T08:24:45+08:00"", ""src_ip"": ""171.100.128.41"", ""dest_ip"": ""192.168.10.20"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET SCAN Nmap Scripting Engine User-Agent Detected"", ""severity"": 2, ""category"": ""Attempted Information Leak""}}"
ALT-000032,2026-06-15 08:25:25,56.61.27.133,192.168.10.30,DB-Server-01,high,suricata_eve,IDS Alert,IDS-001,IDS High Severity Alert,severity,1.0,high,Suricata 高危告警；signature=ET POLICY Suspicious inbound to mySQL port 3306；severity=1.0；proto=,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。,"{""timestamp"": ""2026-06-15T08:25:25+08:00"", ""src_ip"": ""56.61.27.133"", ""dest_ip"": ""192.168.10.30"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET POLICY Suspicious inbound to mySQL port 3306"", ""severity"": 1, ""category"": ""Attempted Information Leak""}}"
ALT-000033,2026-06-15 08:26:54,210.176.16.66,192.168.10.10,Web-Server-01,core,suricata_eve,IDS Alert,IDS-001,IDS High Severity Alert,severity,1.0,high,Suricata 高危告警；signature=ET WEB_SERVER Possible SQL Injection Attempt；severity=1.0；proto=,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。,"{""timestamp"": ""2026-06-15T08:26:54+08:00"", ""src_ip"": ""210.176.16.66"", ""dest_ip"": ""192.168.10.10"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET WEB_SERVER Possible SQL Injection Attempt"", ""severity"": 1, ""category"": ""Attempted Information Leak""}}"
ALT-000034,2026-06-15 08:27:29,208.201.24.7,192.168.10.20,Login-Server-01,core,suricata_eve,IDS Alert,IDS-001,IDS High Severity Alert,severity,2.0,high,Suricata 高危告警；signature=ET WEB_SERVER Possible XSS Attempt；severity=2.0；proto=,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。,"{""timestamp"": ""2026-06-15T08:27:29+08:00"", ""src_ip"": ""208.201.24.7"", ""dest_ip"": ""192.168.10.20"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET WEB_SERVER Possible XSS Attempt"", ""severity"": 2, ""category"": ""Attempted Information Leak""}}"
ALT-000035,2026-06-15 08:28:11,174.49.14.65,192.168.10.30,DB-Server-01,high,suricata_eve,IDS Alert,IDS-001,IDS High Severity Alert,severity,2.0,high,Suricata 高危告警；signature=ET SCAN Nmap Scripting Engine User-Agent Detected；severity=2.0；proto=,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。,"{""timestamp"": ""2026-06-15T08:28:11+08:00"", ""src_ip"": ""174.49.14.65"", ""dest_ip"": ""192.168.10.30"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET SCAN Nmap Scripting Engine User-Agent Detected"", ""severity"": 2, ""category"": ""Attempted Information Leak""}}"
ALT-000036,2026-06-15 08:28:55,202.185.182.154,192.168.10.40,OA-System-01,high,suricata_eve,IDS Alert,IDS-001,IDS High Severity Alert,severity,1.0,high,Suricata 高危告警；signature=ET POLICY Suspicious inbound to mySQL port 3306；severity=1.0；proto=,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。,"{""timestamp"": ""2026-06-15T08:28:55+08:00"", ""src_ip"": ""202.185.182.154"", ""dest_ip"": ""192.168.10.40"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET POLICY Suspicious inbound to mySQL port 3306"", ""severity"": 1, ""category"": ""Attempted Information Leak""}}"
ALT-000037,2026-06-15 08:30:04,136.102.72.248,192.168.10.20,Login-Server-01,core,suricata_eve,IDS Alert,IDS-001,IDS High Severity Alert,severity,1.0,high,Suricata 高危告警；signature=ET WEB_SERVER Possible SQL Injection Attempt；severity=1.0；proto=,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。,"{""timestamp"": ""2026-06-15T08:30:04+08:00"", ""src_ip"": ""136.102.72.248"", ""dest_ip"": ""192.168.10.20"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET WEB_SERVER Possible SQL Injection Attempt"", ""severity"": 1, ""category"": ""Attempted Information Leak""}}"
ALT-000038,2026-06-15 08:30:43,163.204.201.9,192.168.10.30,DB-Server-01,high,suricata_eve,IDS Alert,IDS-001,IDS High Severity Alert,severity,2.0,high,Suricata 高危告警；signature=ET WEB_SERVER Possible XSS Attempt；severity=2.0；proto=,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。,"{""timestamp"": ""2026-06-15T08:30:43+08:00"", ""src_ip"": ""163.204.201.9"", ""dest_ip"": ""192.168.10.30"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET WEB_SERVER Possible XSS Attempt"", ""severity"": 2, ""category"": ""Attempted Information Leak""}}"
ALT-000039,2026-06-15 08:31:31,72.40.21.39,192.168.10.40,OA-System-01,high,suricata_eve,IDS Alert,IDS-001,IDS High Severity Alert,severity,2.0,high,Suricata 高危告警；signature=ET SCAN Nmap Scripting Engine User-Agent Detected；severity=2.0；proto=,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。,"{""timestamp"": ""2026-06-15T08:31:31+08:00"", ""src_ip"": ""72.40.21.39"", ""dest_ip"": ""192.168.10.40"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET SCAN Nmap Scripting Engine User-Agent Detected"", ""severity"": 2, ""category"": ""Attempted Information Leak""}}"
ALT-000040,2026-06-15 08:32:07,120.55.65.34,192.168.10.10,Web-Server-01,core,suricata_eve,IDS Alert,IDS-001,IDS High Severity Alert,severity,1.0,high,Suricata 高危告警；signature=ET POLICY Suspicious inbound to mySQL port 3306；severity=1.0；proto=,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。,"{""timestamp"": ""2026-06-15T08:32:07+08:00"", ""src_ip"": ""120.55.65.34"", ""dest_ip"": ""192.168.10.10"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET POLICY Suspicious inbound to mySQL port 3306"", ""severity"": 1, ""category"": ""Attempted Information Leak""}}"
ALT-000041,2026-06-15 08:33:33,114.178.115.84,192.168.10.30,DB-Server-01,high,suricata_eve,IDS Alert,IDS-001,IDS High Severity Alert,severity,1.0,high,Suricata 高危告警；signature=ET WEB_SERVER Possible SQL Injection Attempt；severity=1.0；proto=,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。,"{""timestamp"": ""2026-06-15T08:33:33+08:00"", ""src_ip"": ""114.178.115.84"", ""dest_ip"": ""192.168.10.30"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET WEB_SERVER Possible SQL Injection Attempt"", ""severity"": 1, ""category"": ""Attempted Information Leak""}}"
ALT-000042,2026-06-15 08:34:12,137.159.174.194,192.168.10.40,OA-System-01,high,suricata_eve,IDS Alert,IDS-001,IDS High Severity Alert,severity,2.0,high,Suricata 高危告警；signature=ET WEB_SERVER Possible XSS Attempt；severity=2.0；proto=,结合五元组、目标资产和 Web 日志进一步确认攻击是否成功。,"{""timestamp"": ""2026-06-15T08:34:12+08:00"", ""src_ip"": ""137.159.174.194"", ""dest_ip"": ""192.168.10.40"", ""proto"": ""TCP"", ""event_type"": ""alert"", ""alert"": {""signature"": ""ET WEB_SERVER Possible XSS Attempt"", ""severity"": 2, ""category"": ""Attempted Information Leak""}}"
